year,population
0,3.18
1,3.2
2,3.21
3,3.22
4,3.23
5,3.24
6,3.25
7,3.27
8,3.28
9,3.29
10,3.3
11,3.31
12,3.33
13,3.34
14,3.36
15,3.39
16,3.41
17,3.44
18,3.47
19,3.49
20,3.52
21,3.54
22,3.57
23,3.6
24,3.62
25,3.65
26,3.68
27,3.7
28,3.73
29,3.76
30,3.79
31,3.82
32,3.84
33,3.87
34,3.9
35,3.93
36,3.96
37,3.99
38,4.02
39,4.05
40,4.08
41,4.11
42,4.14
43,4.17
44,4.2
45,4.23
46,4.26
47,4.29
48,4.33
49,4.36
50,4.66
51,4.72
52,4.78
53,4.84
54,4.9
55,4.97
56,5.03
57,5.1
58,5.17
59,5.24
60,5.32
61,5.39
62,5.47
63,5.56
64,5.64
65,5.73
66,5.82
67,5.91
68,6
69,6.1
70,6.19
71,6.29
72,6.39
73,6.5
74,6.63
75,6.78
76,6.97
77,7.18
78,7.41
79,7.67
80,7.94
81,8.23
82,8.54
83,8.87
84,9.21
85,9.57
86,9.94
87,10.32
88,10.73
89,11.19
90,11.71
91,12.3
92,12.95
93,13.63
94,14.3
95,14.91
96,15.47
97,15.98
98,16.45
99,16.92
100,17.41
101,17.92
102,18.44
103,18.99
104,19.54
105,20.11
106,20.69
107,21.28
108,21.89
109,22.52
110,23.15
111,23.81
112,24.47
113,25.15
114,25.82
115,26.5
116,27.17
117,27.83
118,28.5
119,29.16
120,29.83
